,i,x,y
0,0.0,360.0,220.0
1,1.0,363.0,249.0
2,2.0,368.0,279.0
3,3.0,376.0,308.0
4,4.0,388.0,335.0
5,5.0,405.0,358.0
6,6.0,428.0,376.0
7,7.0,454.0,390.0
8,8.0,482.0,394.0
9,9.0,508.0,388.0
10,10.0,534.0,376.0
11,11.0,557.0,358.0
12,12.0,573.0,336.0
13,13.0,585.0,309.0
14,14.0,592.0,279.0
15,15.0,597.0,249.0
16,16.0,598.0,218.0
17,17.0,384.0,171.0
18,18.0,398.0,155.0
19,19.0,417.0,147.0
20,20.0,438.0,147.0
21,21.0,457.0,154.0
22,22.0,502.0,153.0
23,23.0,522.0,146.0
24,24.0,543.0,147.0
25,25.0,562.0,155.0
26,26.0,575.0,171.0
27,27.0,480.0,189.0
28,28.0,479.0,208.0
29,29.0,479.0,226.0
30,30.0,479.0,244.0
31,31.0,459.0,269.0
32,32.0,470.0,271.0
33,33.0,480.0,272.0
34,34.0,490.0,270.0
35,35.0,499.0,268.0
36,36.0,405.0,202.0
37,37.0,418.0,195.0
38,38.0,433.0,195.0
39,39.0,445.0,202.0
40,40.0,433.0,205.0
41,41.0,419.0,205.0
42,42.0,515.0,202.0
43,43.0,528.0,194.0
44,44.0,542.0,194.0
45,45.0,555.0,201.0
46,46.0,543.0,204.0
47,47.0,528.0,204.0
48,48.0,445.0,315.0
49,49.0,458.0,296.0
50,50.0,470.0,287.0
51,51.0,480.0,289.0
52,52.0,490.0,286.0
53,53.0,504.0,295.0
54,54.0,517.0,314.0
55,55.0,506.0,326.0
56,56.0,493.0,332.0
57,57.0,481.0,333.0
58,58.0,471.0,333.0
59,59.0,458.0,327.0
60,60.0,452.0,313.0
61,61.0,471.0,302.0
62,62.0,480.0,302.0
63,63.0,491.0,301.0
64,64.0,510.0,312.0
65,65.0,492.0,315.0
66,66.0,481.0,316.0
67,67.0,471.0,316.0
